currency,order_book_timestamp,best_bid,best_ask,spread,mid_price,obi
XRP-USD,2026-08-30T18:37:01.856278Z,1.4282,1.4284,0.0002,1.4283,0.3366685194859404394318238495
XRP-USD,2026-08-30T18:37:01.920744Z,1.4283,1.4284,0.0001,1.42835,-0.005575897127071156646492159621
XRP-USD,2026-08-30T18:37:01.935316Z,1.4283,1.4284,0.0001,1.42835,0.08351405338390016211313820989
XRP-USD,2026-08-30T18:37:01.984881Z,1.4283,1.4284,0.0001,1.42835,0.1574026536247186039450390531
XRP-USD,2026-08-30T18:37:02.091547Z,1.4282,1.4284,0.0002,1.4283,0.3452218660479250814474024691
XRP-USD,2026-08-30T18:37:02.148137Z,1.4282,1.4284,0.0002,1.4283,0.3605489095502632946455370092
XRP-USD,2026-08-30T18:37:02.226494Z,1.4282,1.4284,0.0002,1.4283,0.3605489095502632946455370092
XRP-USD,2026-08-30T18:37:02.31014Z,1.4283,1.4285,0.0002,1.4284,-0.02221479749873893080923413630
XRP-USD,2026-08-30T18:37:02.33456Z,1.4283,1.4285,0.0002,1.4284,-0.02748552095515330833162901194
XRP-USD,2026-08-30T18:37:02.357645Z,1.4284,1.4285,0.0001,1.42845,-0.01121702439368756353855398128
XRP-USD,2026-08-30T18:37:02.402186Z,1.4284,1.4285,0.0001,1.42845,0.1727587725780117683268403283
XRP-USD,2026-08-30T18:37:02.419313Z,1.4284,1.4285,0.0001,1.42845,0.1304949866292365476580211465
XRP-USD,2026-08-30T18:37:02.454323Z,1.4284,1.4285,0.0001,1.42845,0.02836531747326590448338603921
XRP-USD,2026-08-30T18:37:02.537243Z,1.4284,1.4285,0.0001,1.42845,0.1130386244837627309640646392
XRP-USD,2026-08-30T18:37:02.605496Z,1.4284,1.4285,0.0001,1.42845,0.1012572280525131683840335382
XRP-USD,2026-08-30T18:37:02.616301Z,1.4284,1.4285,0.0001,1.42845,0.1012572280525131683840335382
XRP-USD,2026-08-30T18:37:02.714931Z,1.4284,1.4285,0.0001,1.42845,0.1216405509295912811728706762
XRP-USD,2026-08-30T18:37:02.762843Z,1.4284,1.4285,0.0001,1.42845,-0.1293250064222941816414319716
XRP-USD,2026-08-30T18:37:02.833349Z,1.4284,1.4285,0.0001,1.42845,-0.1416217990339622082072811951
XRP-USD,2026-08-30T18:37:02.9101Z,1.4284,1.4285,0.0001,1.42845,0.009331799162665714918358147072
XRP-USD,2026-08-30T18:37:02.918689Z,1.4284,1.4285,0.0001,1.42845,0.009331799162665714918358147072
XRP-USD,2026-08-30T18:37:02.930808Z,1.4284,1.4285,0.0001,1.42845,0.009331799162665714918358147072
XRP-USD,2026-08-30T18:37:03.066915Z,1.4283,1.4286,0.0003,1.42845,-0.01356957381606418663374386494
XRP-USD,2026-08-30T18:37:03.107702Z,1.4283,1.4286,0.0003,1.42845,-0.03504145575002167251277367784
XRP-USD,2026-08-30T18:37:03.165377Z,1.4283,1.4286,0.0003,1.42845,-0.03504145575002167251277367784
XRP-USD,2026-08-30T18:37:03.184287Z,1.4283,1.4286,0.0003,1.42845,-0.03504145575002167251277367784
XRP-USD,2026-08-30T18:37:03.262713Z,1.4283,1.4286,0.0003,1.42845,-0.03504145575002167251277367784
XRP-USD,2026-08-30T18:37:03.329936Z,1.4284,1.4286,0.0002,1.4285,-0.1491151136694986196420981937
XRP-USD,2026-08-30T18:37:03.378225Z,1.4284,1.4286,0.0002,1.4285,-0.1593836990606346343665744272
XRP-USD,2026-08-30T18:37:03.389545Z,1.4284,1.4286,0.0002,1.4285,-0.1497386176007378867322481962
XRP-USD,2026-08-30T18:37:03.495584Z,1.4284,1.4286,0.0002,1.4285,-0.1426058309221806972146266773
XRP-USD,2026-08-30T18:37:03.569885Z,1.4284,1.4286,0.0002,1.4285,-0.1426058309221806972146266773
XRP-USD,2026-08-30T18:37:03.784294Z,1.4284,1.4286,0.0002,1.4285,-0.1635548568371609681164888221
XRP-USD,2026-08-30T18:37:04.016915Z,1.4284,1.4286,0.0002,1.4285,-0.09119933160060082305239475320
XRP-USD,2026-08-30T18:37:04.065971Z,1.4284,1.4286,0.0002,1.4285,-0.01554869418115575768071169222
XRP-USD,2026-08-30T18:37:04.1201Z,1.4284,1.4286,0.0002,1.4285,0.09524852335844442468246953229
XRP-USD,2026-08-30T18:37:04.171454Z,1.4284,1.4286,0.0002,1.4285,-0.02319805804913942198894183385
XRP-USD,2026-08-30T18:37:04.211722Z,1.4284,1.4286,0.0002,1.4285,-0.03345127564516461568098961472
XRP-USD,2026-08-30T18:37:04.260973Z,1.4284,1.4286,0.0002,1.4285,-0.03345127564516461568098961472
XRP-USD,2026-08-30T18:37:04.313396Z,1.4284,1.4286,0.0002,1.4285,-0.03345127564516461568098961472
XRP-USD,2026-08-30T18:37:04.319342Z,1.4284,1.4286,0.0002,1.4285,-0.03345127564516461568098961472
XRP-USD,2026-08-30T18:37:04.404846Z,1.4284,1.4286,0.0002,1.4285,-0.04994064526383993443747699410
XRP-USD,2026-08-30T18:37:04.43089Z,1.4284,1.4286,0.0002,1.4285,-0.04994064526383993443747699410
XRP-USD,2026-08-30T18:37:04.651128Z,1.4284,1.4286,0.0002,1.4285,-0.04994064526383993443747699410
XRP-USD,2026-08-30T18:37:04.804383Z,1.4284,1.4286,0.0002,1.4285,-0.04994064526383993443747699410
XRP-USD,2026-08-30T18:37:04.889523Z,1.4284,1.4286,0.0002,1.4285,-0.04994064526383993443747699410
XRP-USD,2026-08-30T18:37:05.017922Z,1.4284,1.4286,0.0002,1.4285,-0.04994064526383993443747699410
XRP-USD,2026-08-30T18:37:05.030296Z,1.4284,1.4285,0.0001,1.42845,0.09045255338355473537437092343
XRP-USD,2026-08-30T18:37:05.058232Z,1.4284,1.4285,0.0001,1.42845,0.09045255338355473537437092343
XRP-USD,2026-08-30T18:37:05.143625Z,1.4284,1.4285,0.0001,1.42845,0.09045255338355473537437092343
XRP-USD,2026-08-30T18:37:05.191347Z,1.4284,1.4285,0.0001,1.42845,0.09045255338355473537437092343
XRP-USD,2026-08-30T18:37:05.235543Z,1.4284,1.4285,0.0001,1.42845,0.09045255338355473537437092343
XRP-USD,2026-08-30T18:37:05.386969Z,1.4284,1.4285,0.0001,1.42845,0.09045255338355473537437092343
XRP-USD,2026-08-30T18:37:05.527294Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:05.596089Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:05.676287Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:05.681643Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:05.828495Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:05.86099Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:05.967409Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:06.014712Z,1.4284,1.4285,0.0001,1.42845,0.1006252352094788549798948182
XRP-USD,2026-08-30T18:37:06.070269Z,1.4284,1.4285,0.0001,1.42845,0.06208234896503432048957189123
XRP-USD,2026-08-30T18:37:06.097031Z,1.4284,1.4285,0.0001,1.42845,0.1220799066982327168218338578
XRP-USD,2026-08-30T18:37:06.155613Z,1.4284,1.4285,0.0001,1.42845,0.1220799066982327168218338578
XRP-USD,2026-08-30T18:37:06.201369Z,1.4284,1.4285,0.0001,1.42845,0.1220799066982327168218338578
XRP-USD,2026-08-30T18:37:06.255873Z,1.4284,1.4285,0.0001,1.42845,0.1230155475793104155209398312
XRP-USD,2026-08-30T18:37:06.290387Z,1.4284,1.4285,0.0001,1.42845,0.1230155475793104155209398312
XRP-USD,2026-08-30T18:37:06.368056Z,1.4284,1.4285,0.0001,1.42845,0.1230155475793104155209398312
XRP-USD,2026-08-30T18:37:06.407795Z,1.4284,1.4285,0.0001,1.42845,0.1230155475793104155209398312
XRP-USD,2026-08-30T18:37:06.639134Z,1.4284,1.4285,0.0001,1.42845,0.03381441551000709779873002560
XRP-USD,2026-08-30T18:37:06.772306Z,1.4284,1.4285,0.0001,1.42845,0.1464328821232711783509103708
XRP-USD,2026-08-30T18:37:06.813568Z,1.4284,1.4285,0.0001,1.42845,0.1464328821232711783509103708
XRP-USD,2026-08-30T18:37:06.847276Z,1.4284,1.4285,0.0001,1.42845,0.1788604491664631212502531777
XRP-USD,2026-08-30T18:37:07.027805Z,1.4284,1.4285,0.0001,1.42845,0.1651920761086050126066120652
XRP-USD,2026-08-30T18:37:07.074249Z,1.4284,1.4285,0.0001,1.42845,0.1828785784754162256736399650
XRP-USD,2026-08-30T18:37:07.079738Z,1.4284,1.4285,0.0001,1.42845,0.1828785784754162256736399650
XRP-USD,2026-08-30T18:37:07.203853Z,1.4284,1.4285,0.0001,1.42845,0.1828785784754162256736399650
XRP-USD,2026-08-30T18:37:07.268826Z,1.4284,1.4285,0.0001,1.42845,0.2399328805145892921488624706
XRP-USD,2026-08-30T18:37:07.304237Z,1.4284,1.4285,0.0001,1.42845,0.1880169741624133616666335670
XRP-USD,2026-08-30T18:37:07.334586Z,1.4284,1.4285,0.0001,1.42845,0.1955633893544566476702447402
XRP-USD,2026-08-30T18:37:07.398516Z,1.4284,1.4285,0.0001,1.42845,0.1955633893544566476702447402
XRP-USD,2026-08-30T18:37:07.510391Z,1.4284,1.4285,0.0001,1.42845,0.2121712830664806377318135047
XRP-USD,2026-08-30T18:37:07.565749Z,1.4284,1.4285,0.0001,1.42845,0.1833359417038628949003126764
