currency,order_book_timestamp,best_bid,best_ask,spread,mid_price,obi
BTC-USD,2026-08-30T18:37:01.434255Z,79123.21,79123.22,0.01,79123.215,-0.8720385403890710675770507774
BTC-USD,2026-08-30T18:37:01.501554Z,79123.21,79123.22,0.01,79123.215,-0.8748987485475323915078427937
BTC-USD,2026-08-30T18:37:01.536541Z,79123.21,79123.22,0.01,79123.215,-0.8655548677804675493638409403
BTC-USD,2026-08-30T18:37:01.67879Z,79123.21,79123.22,0.01,79123.215,-0.8748990331809387033527071617
BTC-USD,2026-08-30T18:37:01.765375Z,79123.21,79123.22,0.01,79123.215,-0.8748944464657357222339417475
BTC-USD,2026-08-30T18:37:01.787543Z,79123.21,79123.22,0.01,79123.215,-0.8748754863741149287073416796
BTC-USD,2026-08-30T18:37:01.839774Z,79123.21,79123.22,0.01,79123.215,-0.8748754863741149287073416796
BTC-USD,2026-08-30T18:37:01.90994Z,79123.21,79123.22,0.01,79123.215,-0.8520742528379003416707035727
BTC-USD,2026-08-30T18:37:01.948065Z,79123.21,79123.22,0.01,79123.215,-0.8520742528379003416707035727
BTC-USD,2026-08-30T18:37:02.027327Z,79123.21,79123.22,0.01,79123.215,-0.8520742528379003416707035727
BTC-USD,2026-08-30T18:37:02.049644Z,79123.21,79123.22,0.01,79123.215,-0.8520742528379003416707035727
BTC-USD,2026-08-30T18:37:02.146135Z,79123.21,79123.22,0.01,79123.215,-0.6824805676085850578859449275
BTC-USD,2026-08-30T18:37:02.321159Z,79123.21,79123.22,0.01,79123.215,-0.8668255724673317352251624302
BTC-USD,2026-08-30T18:37:02.376293Z,79123.21,79123.22,0.01,79123.215,-0.8668255724673317352251624302
BTC-USD,2026-08-30T18:37:02.41766Z,79123.21,79123.22,0.01,79123.215,-0.8720325820932472435879696858
BTC-USD,2026-08-30T18:37:02.463254Z,79123.21,79123.22,0.01,79123.215,-0.8720325820932472435879696858
BTC-USD,2026-08-30T18:37:02.508176Z,79123.21,79123.22,0.01,79123.215,-0.7206701994187226412924274050
BTC-USD,2026-08-30T18:37:02.552704Z,79123.21,79123.22,0.01,79123.215,-0.3953440963132826439080396817
BTC-USD,2026-08-30T18:37:02.637622Z,79123.21,79123.22,0.01,79123.215,-0.02149727959600879244823542229
BTC-USD,2026-08-30T18:37:02.722304Z,79123.21,79123.22,0.01,79123.215,-0.02149727959600879244823542229
BTC-USD,2026-08-30T18:37:02.774257Z,79123.21,79123.22,0.01,79123.215,-0.02149727959600879244823542229
BTC-USD,2026-08-30T18:37:02.83149Z,79123.21,79123.22,0.01,79123.215,-0.09637003511205162492266615768
BTC-USD,2026-08-30T18:37:02.875295Z,79123.21,79123.22,0.01,79123.215,-0.1491977757132631674628128615
BTC-USD,2026-08-30T18:37:02.91906Z,79123.21,79123.22,0.01,79123.215,-0.08111254890815374557162361925
BTC-USD,2026-08-30T18:37:02.966404Z,79123.21,79123.22,0.01,79123.215,-0.1951148960322766383957255641
BTC-USD,2026-08-30T18:37:03.018292Z,79123.21,79123.22,0.01,79123.215,-0.1951148960322766383957255641
BTC-USD,2026-08-30T18:37:03.073652Z,79123.21,79123.22,0.01,79123.215,-0.1951148960322766383957255641
BTC-USD,2026-08-30T18:37:03.128832Z,79123.21,79123.22,0.01,79123.215,-0.1996915132724668829429817849
BTC-USD,2026-08-30T18:37:03.171805Z,79123.21,79123.22,0.01,79123.215,-0.1996915132724668829429817849
BTC-USD,2026-08-30T18:37:03.216546Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.273446Z,79123.21,79123.22,0.01,79123.215,-0.1859189844686794636572926095
BTC-USD,2026-08-30T18:37:03.316879Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.377131Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.432816Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.445361Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.515198Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.580164Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.594617Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.655549Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.713025Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.805736Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.864544Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:03.973616Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:04.014292Z,79123.21,79123.22,0.01,79123.215,-0.2006934856941758860188802683
BTC-USD,2026-08-30T18:37:04.027027Z,79123.21,79123.22,0.01,79123.215,-0.2565631666629925078653242340
BTC-USD,2026-08-30T18:37:04.073968Z,79123.21,79123.22,0.01,79123.215,0.03261908819576086161542744301
BTC-USD,2026-08-30T18:37:04.175952Z,79123.21,79123.22,0.01,79123.215,0.03860102015722293889203960804
BTC-USD,2026-08-30T18:37:04.275052Z,79123.21,79123.22,0.01,79123.215,-0.1899646612728941808907012890
BTC-USD,2026-08-30T18:37:04.3069Z,79123.21,79123.22,0.01,79123.215,-0.1899646612728941808907012890
BTC-USD,2026-08-30T18:37:04.423799Z,79123.21,79123.22,0.01,79123.215,-0.1899646612728941808907012890
BTC-USD,2026-08-30T18:37:04.459994Z,79123.21,79123.22,0.01,79123.215,-0.1899646612728941808907012890
BTC-USD,2026-08-30T18:37:04.517829Z,79123.21,79123.22,0.01,79123.215,-0.1899647592707033519869604690
BTC-USD,2026-08-30T18:37:04.554423Z,79123.21,79123.22,0.01,79123.215,-0.1899647592707033519869604690
BTC-USD,2026-08-30T18:37:04.602812Z,79123.21,79123.22,0.01,79123.215,-0.1747872046727943249210029648
BTC-USD,2026-08-30T18:37:04.687209Z,79123.21,79123.22,0.01,79123.215,-0.1747872046727943249210029648
BTC-USD,2026-08-30T18:37:04.767602Z,79123.21,79123.22,0.01,79123.215,-0.1739564787225742723538598798
BTC-USD,2026-08-30T18:37:04.793003Z,79123.21,79123.22,0.01,79123.215,-0.1739564787225742723538598798
BTC-USD,2026-08-30T18:37:04.855793Z,79123.21,79123.22,0.01,79123.215,-0.1739564787225742723538598798
BTC-USD,2026-08-30T18:37:04.932322Z,79123.21,79123.22,0.01,79123.215,-0.1739564787225742723538598798
BTC-USD,2026-08-30T18:37:04.974825Z,79123.21,79123.22,0.01,79123.215,-0.1739564787225742723538598798
BTC-USD,2026-08-30T18:37:05.005236Z,79123.21,79123.22,0.01,79123.215,-0.1891643250339776144668673847
BTC-USD,2026-08-30T18:37:05.057839Z,79123.21,79123.22,0.01,79123.215,-0.2157889569902583439827910645
BTC-USD,2026-08-30T18:37:05.153112Z,79123.21,79123.22,0.01,79123.215,-0.1999128988236216633347565499
BTC-USD,2026-08-30T18:37:05.219487Z,79123.21,79123.22,0.01,79123.215,-0.1999128988236216633347565499
BTC-USD,2026-08-30T18:37:05.262891Z,79123.21,79123.22,0.01,79123.215,-0.1999128988236216633347565499
BTC-USD,2026-08-30T18:37:05.306952Z,79123.21,79123.22,0.01,79123.215,-0.1999128988236216633347565499
BTC-USD,2026-08-30T18:37:05.37909Z,79123.21,79123.22,0.01,79123.215,-0.1999128988236216633347565499
BTC-USD,2026-08-30T18:37:05.465968Z,79123.21,79123.22,0.01,79123.215,-0.1999128988236216633347565499
BTC-USD,2026-08-30T18:37:05.526734Z,79123.21,79123.22,0.01,79123.215,-0.1999128988236216633347565499
BTC-USD,2026-08-30T18:37:05.57206Z,79123.21,79125.36,2.15,79124.285,-0.5591206012032423087685850228
BTC-USD,2026-08-30T18:37:05.626843Z,79123.21,79123.22,0.01,79123.215,-0.6866715329760813748052256909
BTC-USD,2026-08-30T18:37:05.663731Z,79123.21,79123.22,0.01,79123.215,-0.6899027812563991903672961906
BTC-USD,2026-08-30T18:37:05.730162Z,79123.21,79123.22,0.01,79123.215,-0.6899027812563991903672961906
BTC-USD,2026-08-30T18:37:05.761655Z,79123.21,79123.22,0.01,79123.215,-0.6899027812563991903672961906
BTC-USD,2026-08-30T18:37:05.871707Z,79123.21,79123.22,0.01,79123.215,-0.6899030828423780976325413420
BTC-USD,2026-08-30T18:37:05.898604Z,79123.21,79123.22,0.01,79123.215,-0.6432441428291695806893014218
BTC-USD,2026-08-30T18:37:05.970347Z,79123.21,79123.22,0.01,79123.215,-0.6432441428291695806893014218
BTC-USD,2026-08-30T18:37:06.020713Z,79123.21,79123.22,0.01,79123.215,-0.6432441428291695806893014218
BTC-USD,2026-08-30T18:37:06.078461Z,79123.21,79123.22,0.01,79123.215,-0.6049364182190306435702238050
BTC-USD,2026-08-30T18:37:06.116202Z,79123.21,79123.22,0.01,79123.215,-0.6049364182190306435702238050
BTC-USD,2026-08-30T18:37:06.153023Z,79123.21,79123.22,0.01,79123.215,-0.6438596180822046912415918324
BTC-USD,2026-08-30T18:37:06.200734Z,79123.21,79123.22,0.01,79123.215,-0.6437399584784182835790242076
BTC-USD,2026-08-30T18:37:06.264564Z,79123.21,79123.22,0.01,79123.215,-0.6437399584784182835790242076
BTC-USD,2026-08-30T18:37:06.324351Z,79123.21,79123.22,0.01,79123.215,-0.6437399584784182835790242076
BTC-USD,2026-08-30T18:37:06.376619Z,79123.21,79123.22,0.01,79123.215,-0.6437399584784182835790242076
BTC-USD,2026-08-30T18:37:06.421931Z,79121.64,79121.65,0.01,79121.645,-0.007744197076657809642102835820
BTC-USD,2026-08-30T18:37:06.473072Z,79121.64,79121.65,0.01,79121.645,-0.1822064250333998494799880459
BTC-USD,2026-08-30T18:37:06.520293Z,79121.64,79121.65,0.01,79121.645,-0.3188985509163336388176628646
BTC-USD,2026-08-30T18:37:06.570246Z,79121.64,79121.65,0.01,79121.645,-0.3188985509163336388176628646
