currency,order_book_timestamp,best_bid,best_ask,spread,mid_price,obi
ETH-USD,2026-08-30T18:37:01.766422Z,2514,2514.01,0.01,2514.005,-0.3216313701771158065404746823
ETH-USD,2026-08-30T18:37:01.82005Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:01.853647Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:01.896942Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:02.015418Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:02.053051Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:02.224206Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:02.268157Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:02.298592Z,2514,2514.01,0.01,2514.005,-0.2389353967471531370804396604
ETH-USD,2026-08-30T18:37:02.367514Z,2514,2514.01,0.01,2514.005,0.09319647963337041430394456716
ETH-USD,2026-08-30T18:37:02.414741Z,2514,2514.1,0.1,2514.05,0.1831983524718619938245700432
ETH-USD,2026-08-30T18:37:02.424412Z,2514,2514.21,0.21,2514.105,0.1870924721819059832740615914
ETH-USD,2026-08-30T18:37:02.515712Z,2514.08,2514.17,0.09,2514.125,-0.04887847674241546783724314054
ETH-USD,2026-08-30T18:37:02.56733Z,2514.29,2514.3,0.01,2514.295,0.2495057722525725354148030602
ETH-USD,2026-08-30T18:37:02.624662Z,2514.24,2514.39,0.15,2514.315,-0.1422949769075929786631589298
ETH-USD,2026-08-30T18:37:02.657074Z,2514.22,2514.39,0.17,2514.305,0.1748591959295583682160570021
ETH-USD,2026-08-30T18:37:02.774751Z,2514.38,2514.39,0.01,2514.385,0.2165770367891168700924226800
ETH-USD,2026-08-30T18:37:02.847214Z,2514.21,2514.22,0.01,2514.215,0.6433005254338145508632028205
ETH-USD,2026-08-30T18:37:02.905338Z,2514.21,2514.22,0.01,2514.215,0.4797766905147435429491044395
ETH-USD,2026-08-30T18:37:02.912021Z,2514.21,2514.22,0.01,2514.215,0.4797766905147435429491044395
ETH-USD,2026-08-30T18:37:02.957296Z,2514.21,2514.22,0.01,2514.215,0.06555831329697757611649373799
ETH-USD,2026-08-30T18:37:02.991133Z,2514.07,2514.13,0.06,2514.10,0.3258358651030829999084568100
ETH-USD,2026-08-30T18:37:03.057971Z,2514.08,2514.13,0.05,2514.105,0.3258358651030829999084568100
ETH-USD,2026-08-30T18:37:03.108678Z,2514.08,2514.13,0.05,2514.105,0.1607734357548548438810019132
ETH-USD,2026-08-30T18:37:03.171573Z,2514.08,2514.13,0.05,2514.105,0.1607734357548548438810019132
ETH-USD,2026-08-30T18:37:03.238753Z,2514.12,2514.13,0.01,2514.125,0.2456692430578456297917316703
ETH-USD,2026-08-30T18:37:03.368347Z,2514.12,2514.13,0.01,2514.125,0.4257233904488439536397373537
ETH-USD,2026-08-30T18:37:03.390729Z,2514.12,2514.13,0.01,2514.125,0.4257233904488439536397373537
ETH-USD,2026-08-30T18:37:03.472437Z,2514.12,2514.13,0.01,2514.125,0.4257233904488439536397373537
ETH-USD,2026-08-30T18:37:03.501172Z,2514.12,2514.13,0.01,2514.125,0.4257233904488439536397373537
ETH-USD,2026-08-30T18:37:03.580097Z,2514.12,2514.13,0.01,2514.125,0.4257233904488439536397373537
ETH-USD,2026-08-30T18:37:03.596084Z,2514.12,2514.13,0.01,2514.125,0.4212305772955955807538306308
ETH-USD,2026-08-30T18:37:03.674563Z,2514.12,2514.13,0.01,2514.125,0.4212305772955955807538306308
ETH-USD,2026-08-30T18:37:03.723444Z,2514.12,2514.13,0.01,2514.125,0.3787373282942899929870539416
ETH-USD,2026-08-30T18:37:03.771477Z,2514.01,2514.13,0.12,2514.07,0.4491936632974281326797694195
ETH-USD,2026-08-30T18:37:03.874598Z,2514.01,2514.13,0.12,2514.07,0.4491936632974281326797694195
ETH-USD,2026-08-30T18:37:03.895396Z,2514.01,2514.13,0.12,2514.07,0.4491936632974281326797694195
ETH-USD,2026-08-30T18:37:03.976319Z,2514.01,2514.13,0.12,2514.07,0.4491936632974281326797694195
ETH-USD,2026-08-30T18:37:04.019489Z,2514.01,2514.13,0.12,2514.07,0.02144594436950466637004355817
ETH-USD,2026-08-30T18:37:04.062289Z,2514.04,2514.17,0.13,2514.105,0.004042488612128063728115555150
ETH-USD,2026-08-30T18:37:04.119949Z,2514.27,2514.47,0.20,2514.37,0.4361431703726064848101038819
ETH-USD,2026-08-30T18:37:04.176739Z,2514.18,2514.41,0.23,2514.295,0.3585709166856500783041477970
ETH-USD,2026-08-30T18:37:04.214995Z,2514.14,2514.41,0.27,2514.275,-0.05607124860114968196540035914
ETH-USD,2026-08-30T18:37:04.268444Z,2514.14,2514.41,0.27,2514.275,-0.06358706343257025695506974362
ETH-USD,2026-08-30T18:37:04.272667Z,2514.14,2514.41,0.27,2514.275,-0.06358706343257025695506974362
ETH-USD,2026-08-30T18:37:04.376505Z,2514.14,2514.41,0.27,2514.275,0.1435160960580383734721926453
ETH-USD,2026-08-30T18:37:04.409548Z,2514.14,2514.39,0.25,2514.265,-0.001929677279337466694319720681
ETH-USD,2026-08-30T18:37:04.467496Z,2514.14,2514.39,0.25,2514.265,0.1487849793624683073366317379
ETH-USD,2026-08-30T18:37:04.503429Z,2514.14,2514.39,0.25,2514.265,0.1657147546374128812048143388
ETH-USD,2026-08-30T18:37:04.572797Z,2514.14,2514.4,0.26,2514.27,0.07966411432783197430869743066
ETH-USD,2026-08-30T18:37:04.604826Z,2514.14,2514.4,0.26,2514.27,0.07966411432783197430869743066
ETH-USD,2026-08-30T18:37:04.696763Z,2514.14,2514.4,0.26,2514.27,0.07966411432783197430869743066
ETH-USD,2026-08-30T18:37:04.774403Z,2514.14,2514.4,0.26,2514.27,0.07966411432783197430869743066
ETH-USD,2026-08-30T18:37:04.795998Z,2514.14,2514.4,0.26,2514.27,0.07966411432783197430869743066
ETH-USD,2026-08-30T18:37:04.876483Z,2514.14,2514.4,0.26,2514.27,0.07966411432783197430869743066
